# timestep  xRg^2        yRg^2           zRg^2           Rg^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  17000000  10.2238082319  28.6881011945  32.5735854838  71.4854949102 181.0827748900 158.1042186025 211.9440988900 551.1310923825   0.3378799035   0.2927359827   0.3946992500   1.0253151363
  17100000  17.4941965075   9.0699886072  86.7237037583 113.2878888729  51.5739422500  63.1702271209 574.9881247881 689.7322941590   0.3483311635   0.3498469371   0.3329704997   1.0311486003
  17200000  48.7657523738  21.9431535001   3.8102941929  74.5192000668 448.6068025156 307.1785527801   1.6625523600 757.4479076557   0.3284837035   0.4100171062   0.2729880131   1.0114888229
  17300000  22.0836744086   8.0835386362  19.2391438716  49.4063569164 295.5875578756  13.2081364900 210.3602144400 519.1559088056   0.3297090192   0.3123822369   0.3701704018   1.0122616579
  17400000   5.2266786286  44.7693530307   4.1583020390  54.1543336983   1.1676963600  80.1347232400   0.3990448900  81.7014644900   0.3275927725   0.3643447402   0.3265599668   1.0184974795
  17500000  10.4481997856   4.8074647915  42.6118169050  57.8674814820 145.5236894224   0.2615299600 439.0852030096 584.8704223920   0.3466803751   0.3456882885   0.3412796419   1.0336483055
  17600000  15.0672823292   6.1865010380  31.4114006850  52.6651840523 196.8100352100   0.6807900100 324.3222801025 521.8131053225   0.3760873595   0.3621035278   0.3113917556   1.0495826428
  17700000  48.9897536720  46.5721084027   8.9518690585 104.5137311332 307.0064665600 342.6089940900   4.6323952900 654.2478559400   0.4213398505   0.3387556577   0.2756570875   1.0357525957
  17800000  44.4590068293  26.3109706780   4.5296901355  75.2996676427  43.2003852900  56.1540409600   3.2608414084 102.6152676584   0.3570205542   0.3472946832   0.3208369861   1.0251522236
  17900000  46.7658344871   8.7562536222   4.1460820500  59.6681701593 233.2584198400   9.6341952100  12.3192576144 255.2118726644   0.3573774533   0.3524925353   0.3275399898   1.0374099783
  18000000  23.7736710181  18.8224353156   2.0062740941  44.6023804278 252.3777049600  45.2727122500  23.7511971904 321.4016144004   0.3317854036   0.3631290765   0.3072869359   1.0022014160
  18100000  32.7327217375  20.6108647817  11.2245761979  64.5681627171 349.5131203729  11.4771888400  81.7832644281 442.7735736410   0.3737083314   0.3314675707   0.3210760753   1.0262519774
  18200000  61.0053612905  25.5961468015   1.4088177134  88.0103258055 344.0750465476 217.9048345600   4.1376441744 566.1175252820   0.3002940612   0.3768093984   0.3346194069   1.0117228665
  18300000  20.0857664287  14.9684374335  10.7194950946  45.7736989567 122.6113290000 303.1672968900  48.5438266756 474.3224525656   0.3660988285   0.3394061995   0.3272241618   1.0327291898
  18400000  11.7604624492  16.3918170466  10.7808265131  38.9331060089   6.4003940100  22.4372742400  71.1541173841  99.9917856341   0.3105290961   0.3802867564   0.3581747862   1.0489906386
  18500000  11.5703408328  10.6881735718  50.3470144146  72.6055288192  59.2128711001  11.8432339600 419.8704257476 490.9265308077   0.3726124389   0.3266990804   0.3328728917   1.0321844111
  18600000  10.5111678833   8.3168415752   9.0666275387  27.8946369972  81.7476372736  20.7279878400  95.5058607441 197.9814858577   0.3383360682   0.3569808349   0.3423014737   1.0376183768
  18700000  25.5728521164  12.8131469252   2.8957883545  41.2817873961 156.7561592529  99.3012250000  10.0086180496 266.0660023025   0.4096208862   0.2936632170   0.3131742019   1.0164583051
  18800000  59.9522837406  12.5928753896   1.1477121173  73.6928712476 182.9245430016 198.9228160000   4.2942615076 386.1416205092   0.3905548054   0.3776878899   0.2728705242   1.0411132195
  18900000  17.8019539490  44.8117971249   6.8074257838  69.4211768577 169.2395448241 348.1657446400   0.3953768641 517.8006663282   0.3579904704   0.3661352911   0.3104404769   1.0345662384
  19000000   8.4236278251  27.0893213114   7.3406895744  42.8536387108   0.7610817600 112.7185656100 116.7309537241 230.2106010941   0.3559046277   0.3726494981   0.3070028289   1.0355569546
  19100000  10.7890713678  12.9553609593   4.6207355530  28.3651678801  29.4436464400   1.1308195600   7.0335283264  37.6079943264   0.3541996085   0.3160693471   0.3558117960   1.0260807515
  19200000  68.4693391101   3.8134996300   6.6742890987  78.9571278387 881.8642944400   0.0086304100   8.5320657409 890.4049905909   0.3400418248   0.3411159793   0.3483018313   1.0294596355
  19300000  22.1579539782   9.0865846308   3.6011562647  34.8456948736 112.5784660900   1.3174448400  35.3620515600 149.2579624900   0.3563881728   0.3461286792   0.3377399387   1.0402567907
  19400000  11.8409077500   6.6487830885   9.3717505704  27.8614414089  35.5800320100  14.0340144400  13.2442861329  62.8583325829   0.3491837084   0.3503039059   0.3250468757   1.0245344900
  19500000  11.4136104197  10.7908748663  16.0157725089  38.2202577948  53.7582240000 100.2561638400 113.9274447424 267.9418325824   0.3672678374   0.3552775105   0.3195004089   1.0420457567
  19600000  33.1001992156   9.2340063380   3.6762692836  46.0104748372  93.5746675600 191.0863875600   1.5732684900 286.2343236100   0.3702480889   0.3235481703   0.3288718869   1.0226681461
  19700000  14.7640343467   7.7624594451   6.5604562236  29.0869500154  15.9456462400  42.8082318400   0.7937277554  59.5476058354   0.3610021034   0.3352908467   0.3488392168   1.0451321669
