# eps rg_perp sem rg_para sem
0.05	    8.6907599694     0.0981488526     7.8577862923     0.0574278879
0.10	    8.6662510258     0.0958531705     7.8758254799     0.0583292288
0.15	    8.7292537974     0.0995991372     7.7237669506     0.0570738948
0.20	    8.5063600002     0.0963294275     7.9148065475     0.0582042445
0.25	    8.2553819207     0.0966204942     7.8039821782     0.0577268446
0.30	    8.3174738368     0.0951656430     7.8348796719     0.0570673242
0.35	    8.1066382865     0.0938748052     7.9771444240     0.0574721700
0.40	    8.0072552052     0.0942013648     8.0787847087     0.0583488899
0.45	    7.8973378366     0.0951576659     8.0479631063     0.0587072897
0.50	    7.6889161572     0.0924057059     8.0151883868     0.0589183018
0.55	    7.5445767107     0.0939229162     8.1619794775     0.0592580602
0.60	    7.1019663001     0.0890887019     8.3080455580     0.0602101164
0.65	    6.7250908749     0.0882016695     8.4847081778     0.0597705754
0.70	    6.3562744060     0.0878212182     8.7147540993     0.0633697346
0.71	    6.1948432671     0.0844796120     8.7402842545     0.0638583468
0.72	    6.3345471556     0.0872369040     8.7158851415     0.0638389979
0.73	    6.1200480196     0.0848821212     8.8346298509     0.0624015155
0.74	    6.1181763481     0.0874499717     8.7942525367     0.0627991939
0.75	    5.9901667600     0.0852711874     8.7840657389     0.0623691247
0.76	    5.8616510551     0.0871624708     8.9841718741     0.0648814918
0.77	    5.8646885956     0.0849603970     8.9449330020     0.0639756718
0.78	    5.6747306551     0.0831439249     9.0513973047     0.0658286212
0.79	    5.5240090280     0.0814272513     9.1473370775     0.0638963911
0.80	    5.6118974865     0.0837518788     9.2009923736     0.0652251631
0.81	    5.3596790074     0.0811020573     9.2559032503     0.0652523818
0.82	    5.3220436112     0.0803015148     9.3865971930     0.0672444284
0.83	    5.0022082366     0.0757648344     9.4828273369     0.0665636204
0.84	    5.0914816739     0.0795300322     9.4855764446     0.0680991406
0.85	    4.7956349427     0.0755384185     9.5883293916     0.0674688255
0.86	    4.8488169582     0.0780027730     9.7033853896     0.0690332165
0.87	    4.7969768356     0.0766251847     9.7458670615     0.0679840933
0.88	    4.6007808134     0.0741891989     9.8729411790     0.0696030463
0.89	    4.5553073017     0.0733765079     9.9251077540     0.0680713388
0.90	    4.5520865465     0.0753652497     9.9248084146     0.0686216090
0.95	    3.8181601435     0.0682070038    10.5028962252     0.0716571027
1.00	    3.2484428865     0.0608437235    10.9212405548     0.0731187803
1.05	    2.6400957512     0.0518156320    11.5323946498     0.0744389341
1.10	    2.1822297229     0.0454733415    12.0137109411     0.0759966489
1.15	    1.8658114907     0.0407831190    12.7023727041     0.0786390741
1.20	    1.4499605864     0.0328611411    13.1954447824     0.0782985871
1.25	    1.2916296070     0.0300504633    13.8540549413     0.0815495000
1.30	    1.0557221640     0.0259103378    14.2663542346     0.0810340624
1.35	    0.8648236611     0.0193612222    14.5300298557     0.0804175149
1.40	    0.7207853574     0.0156640008    14.9366925930     0.0810979382
1.45	    0.6289400555     0.0143170211    15.3817639395     0.0840121778
1.50	    0.5488870503     0.0124579731    15.7896397902     0.0851948725
1.55	    0.4511091920     0.0093530902    16.1381099784     0.0851650299
1.60	    0.4162730318     0.0084994216    16.4372660478     0.0852409700
1.65	    0.3598883622     0.0081629571    16.6275459508     0.0855269145
1.70	    0.3352755461     0.0063802398    16.8972064220     0.0890488754
1.75	    0.2923359141     0.0044098905    17.1894597169     0.0883558837
1.80	    0.2758649756     0.0061065170    17.3780496344     0.0895454610
1.85	    0.2469010547     0.0037395432    17.5982335179     0.0876645179
1.90	    0.2219509990     0.0032454049    17.9470388793     0.0895486260
1.95	    0.2045099083     0.0025640393    18.1839188250     0.0900316575
2.00	    0.1932171642     0.0023802508    18.2615270683     0.0925357692
