# eps rg_perp sem rg_para sem
0.05	   21.2810575698     0.2396765423    18.5520956563     0.1391752840
0.10	   20.9154311568     0.2394215632    18.4101527998     0.1403486222
0.15	   20.6593956042     0.2389012728    18.7663581804     0.1423372612
0.20	   20.4753240030     0.2320333213    18.6176704569     0.1415521527
0.25	   20.6393828805     0.2371625104    18.8563629091     0.1427956662
0.30	   20.2098059063     0.2307977316    18.7164682667     0.1396515086
0.35	   20.1649867752     0.2369600317    18.9354081347     0.1433274240
0.40	   20.1480654627     0.2379751207    18.8658622226     0.1427921460
0.45	   19.3655149137     0.2273334153    18.8092391287     0.1393888766
0.50	   18.8689996144     0.2299899308    18.7788325996     0.1387493477
0.55	   18.2830997235     0.2243168841    19.2221373754     0.1432310865
0.60	   17.7584485658     0.2217973964    19.6251111103     0.1456100194
0.65	   16.9078327600     0.2219902597    19.8949013752     0.1500629373
0.70	   15.8193109317     0.2133287940    20.6668677385     0.1510307491
0.71	   15.5984257181     0.2162386758    20.3561803353     0.1528483664
0.72	   15.4164280541     0.2082182932    20.5457815618     0.1563889978
0.73	   15.0164003427     0.2096660599    20.8135375994     0.1547108713
0.74	   14.6204349171     0.1998511495    20.8571671409     0.1530151174
0.75	   14.5446200549     0.2106651807    21.1479974046     0.1553268897
0.76	   14.2035071552     0.2038361468    21.3227875191     0.1581417727
0.77	   13.8799086108     0.2000061509    21.4218210769     0.1610571471
0.78	   13.7904315846     0.1993380218    21.1754539289     0.1545351859
0.79	   12.8889303542     0.1943118800    21.8429937806     0.1588019410
0.80	   13.0202740148     0.1977092002    22.0873267618     0.1639505323
0.81	   12.6896173994     0.1914966448    22.1504763702     0.1651495926
0.82	   11.8815680114     0.1851088056    22.5901495906     0.1677426724
0.83	   11.4399929770     0.1790017156    22.8761265079     0.1672408992
0.84	   11.6453556783     0.1898482979    23.3401764160     0.1721128756
0.85	   11.0386033752     0.1758226599    23.3585711636     0.1691259352
0.86	   10.5807989455     0.1765084779    23.6579012709     0.1696351316
0.87	   10.3938577171     0.1765887138    24.0775054072     0.1699793702
0.88	    9.8767039257     0.1626321834    24.0995501435     0.1744072769
0.89	    9.2845535441     0.1653187533    25.0367393357     0.1783092531
0.90	    9.0302596553     0.1550552483    25.0184884058     0.1810659287
0.95	    7.3200127792     0.1412037776    26.9689857922     0.1884715869
1.00	    5.6064794589     0.1197547927    29.1796163101     0.2023084981
1.05	    4.0893534955     0.0931240275    31.6373132601     0.2057834366
1.10	    3.0370909055     0.0678267178    33.5690008478     0.2108360278
1.15	    2.2299305928     0.0540971411    35.5514845712     0.2111264633
1.20	    1.7001553742     0.0365096793    37.4237525770     0.2179814167
1.25	    1.4213212220     0.0352675587    38.7545958593     0.2262738314
1.30	    1.1491287804     0.0293482181    40.2625097874     0.2277205646
1.35	    0.8741358066     0.0161344727    41.9445985239     0.2314920900
1.40	    0.7274787804     0.0125617303    43.2616293598     0.2410815233
1.45	    0.6293598579     0.0117158231    44.1338010751     0.2378339367
1.50	    0.5192403483     0.0085831132    45.4438596807     0.2394826371
1.55	    0.4615594440     0.0070508443    46.2597987502     0.2413664556
1.60	    0.3958304010     0.0055478865    47.4864001371     0.2486693972
1.65	    0.3490383373     0.0043549050    48.2752271648     0.2592444337
1.70	    0.3247225816     0.0045938008    48.4808872492     0.2519686242
1.75	    0.2875528931     0.0034797850    49.4597471379     0.2532331091
1.80	    0.2652180054     0.0029213124    49.9733620533     0.2631934440
1.85	    0.2391803281     0.0022996904    50.6614345658     0.2614917394
1.90	    0.2196223455     0.0019698563    51.1444741445     0.2634829098
1.95	    0.2052898282     0.0018734966    52.2127991646     0.2626107563
2.00	    0.1922686028     0.0016595092    52.8554533459     0.2693353577
