# eps rg_perp sem rg_para sem
0.05	    3.5067147279     0.0386276014     3.1863647630     0.0220539568
0.10	    3.5999166456     0.0412903447     3.1677357333     0.0224255679
0.15	    3.5275429748     0.0392489093     3.1834051820     0.0223884941
0.20	    3.4126772102     0.0380186770     3.2134105239     0.0223728257
0.25	    3.4489057371     0.0386217664     3.2190421321     0.0223433096
0.30	    3.4131971668     0.0387743078     3.2358256991     0.0229340431
0.35	    3.3056865393     0.0386251350     3.2736512897     0.0232441367
0.40	    3.1724306909     0.0378192951     3.2920165489     0.0230018650
0.45	    3.1699717808     0.0380363677     3.3096751393     0.0233707609
0.50	    2.9779240416     0.0368517003     3.3836331558     0.0235428276
0.55	    2.9057631216     0.0410647566     3.4055487684     0.0264757949
0.60	    2.8188428712     0.0402663863     3.4726270673     0.0267427144
0.65	    2.6804477595     0.0403471224     3.5148391387     0.0269720364
0.70	    2.6089707615     0.0396988183     3.5920122184     0.0274626958
0.71	    2.4861223946     0.0339986836     3.6160553193     0.0250393735
0.72	    2.5462473646     0.0356146047     3.5916078673     0.0246045032
0.73	    2.5252556923     0.0347099760     3.6416284084     0.0250246899
0.74	    2.4872829820     0.0348145427     3.6489466525     0.0248961613
0.75	    2.4945437597     0.0388050077     3.6147661723     0.0276639211
0.76	    2.3789998521     0.0330489207     3.6591952611     0.0248901265
0.77	    2.3566444160     0.0333430864     3.6996495824     0.0248036067
0.78	    2.3683565139     0.0338216665     3.7066400496     0.0254980229
0.79	    2.3375571636     0.0333527417     3.6933246482     0.0249017483
0.80	    2.2979878757     0.0373487856     3.7022865840     0.0274944729
0.81	    2.2453675952     0.0321972410     3.7437881578     0.0254046016
0.82	    2.3108073103     0.0340580737     3.7768342875     0.0253388024
0.83	    2.1778074036     0.0325293775     3.8189579966     0.0258409425
0.84	    2.1362162130     0.0317596830     3.8605186330     0.0257524757
0.85	    2.1393924507     0.0323513060     3.8212370112     0.0255277462
0.86	    2.0790910430     0.0311494456     3.8611069181     0.0253003869
0.87	    2.0374599257     0.0310520205     3.9278132234     0.0259307514
0.88	    2.0785861974     0.0326348416     3.9020504284     0.0263049955
0.89	    1.9752830238     0.0309476305     3.9334070334     0.0258969652
0.90	    1.9915001806     0.0309422201     3.8926041251     0.0257892710
0.95	    1.7534672256     0.0279971150     4.0587414364     0.0261913537
1.00	    1.6680619694     0.0289232471     4.1754699544     0.0267976059
1.05	    1.5217012280     0.0273276114     4.2547840166     0.0266967317
1.10	    1.3052531572     0.0242667402     4.4288576042     0.0275184397
1.15	    1.2194775612     0.0237291205     4.5268270723     0.0278030954
1.20	    1.0322880072     0.0200293657     4.7215657335     0.0278934597
1.25	    0.9011802501     0.0186145378     4.8534728559     0.0283393592
1.30	    0.8462459638     0.0182781475     4.9445637363     0.0287455159
1.35	    0.7250875255     0.0157644809     5.1294544697     0.0287686312
1.40	    0.6455006555     0.0147026545     5.1765964837     0.0290199957
1.45	    0.5645194190     0.0128714149     5.3489413171     0.0295172029
1.50	    0.4742215465     0.0108614462     5.4617257151     0.0288857248
1.55	    0.4444721483     0.0096140460     5.5373763123     0.0294506253
1.60	    0.3997138352     0.0089536381     5.5974652356     0.0293854421
1.65	    0.3731363860     0.0081057074     5.7029948517     0.0292237000
1.70	    0.3250510076     0.0071546971     5.7470777287     0.0290050890
1.75	    0.2918322066     0.0058827555     5.9212409291     0.0294524299
1.80	    0.2631768282     0.0050920611     5.9662638627     0.0294287269
1.85	    0.2468028933     0.0049332256     5.9990778136     0.0293422252
1.90	    0.2263154539     0.0040389369     6.0858034795     0.0296550746
1.95	    0.2057875039     0.0036146801     6.1823069257     0.0300499796
2.00	    0.1918137013     0.0030840958     6.2532412130     0.0303520240
