# timestep  xRg^2        yRg^2           zRg^2           Rg,xy^2          xRe^2         yRe^2         zRe^2          Re^2          xL^2           yL^2          zL^2           L^2
  102900000  49.7238657870  16.1146277525   0.0000000000  65.8384935395 385.5253710400  19.9336353841 204.2538036441 609.7128100682   0.3552997562   0.3556897578   0.3036683997   1.0146579136
  103000000  27.8665776886   5.8031313750   0.0000000000  33.6697090636 223.1229312900   0.6280562500   7.3221654025 231.0731529425   0.3438654938   0.3234790962   0.3630452089   1.0303897989
  103100000  43.4448279804  12.4740688892   0.0000000000  55.9188968696 269.1486330625   7.2486408289  14.3068523536 290.7041262450   0.2901676050   0.3819492020   0.3653483808   1.0374651878
  103200000   7.9871987136  27.3852624030   0.0000000000  35.3724611167   0.0853224100  20.2744873984   4.4699684929  24.8297783013   0.3513333065   0.3725052348   0.3066522179   1.0304907592
  103300000  47.0180897849   9.9998579466   0.0000000000  57.0179477315 530.2104916900  86.4862800400   0.9922948996 617.6890666296   0.3240764907   0.3564421804   0.3509534781   1.0314721492
  103400000 100.0371401884  12.1324814436   0.0000000000 112.1696216320 741.8487216100 123.1059039961 162.5938665129 1027.5484921190   0.3828861856   0.3856032040   0.2687277308   1.0372171203
  103500000   3.3005063051  21.5103177318   0.0000000000  24.8108240369  36.5867716900  12.3404664100  27.1784968900  76.1057349900   0.3565283514   0.3171672856   0.3585487255   1.0322443625
  103600000   7.2977674542  11.0328137828   0.0000000000  18.3305812370   0.9940090000  72.7165507600  46.0023062500 119.7128660100   0.3399197628   0.3196026297   0.3732309811   1.0327533736
  103700000  39.3770392737  19.1121572251   0.0000000000  58.4891964988 632.0749092100   4.9244048100   6.0959610000 643.0952750200   0.3724429975   0.3629311645   0.3108543851   1.0462285471
  103800000   7.9693656704  53.2642586272   0.0000000000  61.2336242976  97.7725440000 612.7169497344 211.9894067407 922.4789004751   0.3667708588   0.3286380359   0.3456113645   1.0410202592
  103900000  23.9068162571  15.6681506359   0.0000000000  39.5749668930 157.5702772900  69.3156153600   0.1304293225 227.0163219725   0.3762436597   0.3154120939   0.3152755519   1.0069313055
  104000000  12.9705683705  16.2116666385   0.0000000000  29.1822350090   2.7995982400 114.1905960000 166.6288559104 283.6190501504   0.3979785251   0.2989556467   0.3350813764   1.0320155482
  104100000  17.1195714120  12.7348168442   0.0000000000  29.8543882562 160.9498195600  32.7492952900 234.8645135841 428.5636284341   0.3158433614   0.3333900708   0.3809102059   1.0301436381
  104200000  32.9505553884  21.0775357211   0.0000000000  54.0280911095  92.7214926400  63.8743017796  24.9788044944 181.5745989140   0.3532852770   0.3852298774   0.3154959911   1.0540111454
  104300000  48.2639656703  19.8149111942   0.0000000000  68.0788768645 381.5849696400   7.1193953002   3.9328839225 392.6372488627   0.3852320923   0.3676971132   0.2847448669   1.0376740724
  104400000  44.6039780510  31.5238947072   0.0000000000  76.1278727583 171.7750996900 362.3734839321  11.0001008896 545.1486845117   0.3850029710   0.3512942061   0.2960794194   1.0323765966
  104500000  14.5933507124  12.3091251798   0.0000000000  26.9024758922  79.4380038400  20.2127571396  56.6471485449 156.2979095245   0.3471277105   0.3507460057   0.3442389534   1.0421126696
  104600000  11.5698383857  62.2372221340   0.0000000000  73.8070605197   1.0393802500 238.6703650816   0.6542884722 240.3640338038   0.3980815383   0.3434762542   0.3004118024   1.0419695949
  104700000   8.5313037671  65.1968644192   0.0000000000  73.7281681864  21.2391939600 506.9378334784 114.6445601284 642.8215875668   0.3056556814   0.3825707052   0.3502905428   1.0385169294
  104800000   7.6345685351  53.6550160170   0.0000000000  61.2895845521  96.9397776400 541.5487494400   8.2836898596 646.7722169396   0.3717448067   0.3436850672   0.3254357804   1.0408656543
  104900000   8.2870389928   6.5475646522   0.0000000000  14.8346036450  33.6572862201  52.3206288900  43.6356688329 129.6135839430   0.3468252888   0.3267871270   0.3585190624   1.0321314782
  105000000   8.4222421873   6.3979831859   0.0000000000  14.8202253732 108.2286508900  12.5599360000   5.5705912441 126.3591781341   0.3630223997   0.2887017741   0.3705881046   1.0223122784
  105100000   8.7639522457  33.9852729611   0.0000000000  42.7492252068  16.6156510129 112.0549273600 211.2147742329 339.8853526058   0.3326617656   0.3565097220   0.3380290265   1.0272005141
  105200000   6.6806780107  13.6606522164   0.0000000000  20.3413302271  45.0008863929 171.7462670400 217.2829298704 434.0300833033   0.3342427380   0.3253812972   0.3957268760   1.0553509112
  105300000  32.0657206663   7.6492083636   0.0000000000  39.7149290299 202.1882081041  35.6850916900 325.8719962056 563.7452959997   0.3567454305   0.2999010827   0.3910802367   1.0477267499
  105400000  18.4753625730  13.1257333153   0.0000000000  31.6010958883  57.2470797924  20.7616922500  32.3158140900 110.3245861324   0.3526279321   0.3445878126   0.3305943191   1.0278100639
  105500000  44.7355197842  49.7695321018   0.0000000000  94.5050518860 457.1471610000 508.9806723600   0.5070152025 966.6348485625   0.3610994992   0.3229179051   0.3289716521   1.0129890563
  105600000  11.8702357626  48.2572823069   0.0000000000  60.1275180695  57.3890862839 324.2736577600   7.3820346601 389.0447787040   0.4035852653   0.3991014693   0.2481909079   1.0508776425
  105700000   6.7746721156  16.3286900433   0.0000000000  23.1033621589   8.4148262922  52.4103602500  10.4238579600  71.2490445022   0.3464606332   0.3191108878   0.3655809696   1.0311524905
  105800000  23.2071155884  14.8723391302   0.0000000000  38.0794547185  27.9796565764  62.3594502400  59.0518476304 149.3909544468   0.3325102056   0.3561678448   0.3424967839   1.0311748344
  105900000  33.3728607010  10.0829107463   0.0000000000  43.4557714473 396.5853188025  55.6516000000   0.6598637824 452.8967825849   0.3298169741   0.3640904285   0.3540902249   1.0479976275
  106000000  27.5629401418   3.6932791400   0.0000000000  31.2562192819   0.0000996004   3.0639001600  51.8712527089  54.9352524693   0.3887047377   0.3265493489   0.2889211611   1.0041752478
  106100000  99.9679564845   3.4128715948   0.0000000000 103.3808280793 977.8379161600  34.4956528900  25.8348558400 1038.1684248900   0.3717556773   0.3714265876   0.3009482134   1.0441304783
  106200000  69.0793711717  21.1262257138   0.0000000000  90.2055968855 547.4163334249  93.9678196900   1.5597262321 642.9438793470   0.3756455949   0.3527600845   0.2988914358   1.0272971152
  106300000  28.8751770946  52.1279595421   0.0000000000  81.0031366367 254.7190464064 537.5488620100   1.9138232281 794.1817316445   0.3386349656   0.3745928041   0.3027225033   1.0159502730
  106400000  34.7158367328   5.6436239029   0.0000000000  40.3594606358  65.6505062500  35.1447408900   0.8130628900 101.6083100300   0.3922887146   0.3039943698   0.3487640115   1.0450470959
  106500000   8.6661719443  40.1116739968   0.0000000000  48.7778459412   3.7604190724 319.5907044100   6.0172090000 329.3683324824   0.3559298139   0.3076314351   0.3682105119   1.0317717609
  106600000  12.2083703580  15.7635452749   0.0000000000  27.9719156329  15.9394973049 243.5097830400   3.3575431696 262.8068235145   0.2905624976   0.4006082610   0.3405111135   1.0316818722
  106700000  13.6438153169  20.8690926283   0.0000000000  34.5129079452   3.5755028100  58.7108412900 192.5930830397 254.8794271397   0.3439963847   0.3789823464   0.3080635587   1.0310422898
  106800000  11.2048389701  88.3163789043   0.0000000000  99.5212178744  17.0782174564 982.1642602500   4.5287244864 1003.7712021928   0.3612125956   0.3666587153   0.3038141601   1.0316854709
  106900000   4.8815456653  54.6282613996   0.0000000000  59.5098070650   8.1214740324 222.0219201600   6.1746783121 236.3180725045   0.4079745660   0.3399037998   0.2984643532   1.0463427190
  107000000  14.5831823282  17.5597513655   0.0000000000  32.1429336937 117.9830440000 144.4179027600   1.7884247824 264.1893715424   0.3704709035   0.3829748945   0.2637717893   1.0172175874
  107100000   6.9778558790  68.3564347646   0.0000000000  75.3342906436  35.6970400900 240.1942032400  16.9588299721 292.8500733021   0.3152049553   0.3998538240   0.3109881057   1.0260468850
  107200000  13.6602843040  14.2511383395   0.0000000000  27.9114226435  19.9567692900   4.3953122500  44.1087916880  68.4608732280   0.3536245344   0.3539277035   0.3296821724   1.0372344103
  107300000  11.3579980742  32.7007471585   0.0000000000  44.0587452326  57.7189672900 199.5749544100   4.8722174361 262.1661391361   0.3509623225   0.3773892797   0.2902898130   1.0186414152
  107400000  55.4146809024  18.8418985542   0.0000000000  74.2565794566 496.4099856676 285.1673916100  17.1122868900 798.6896641676   0.3274556265   0.4360574951   0.2759240450   1.0394371665
  107500000  11.0256137276  25.5582336865   0.0000000000  36.5838474141  17.9726819364 283.6866490000   0.8276414235 302.4869723599   0.3778882588   0.3563476802   0.3146720203   1.0489079593
  107600000  20.8649729348   8.1305262585   0.0000000000  28.9954991933  11.1668920561 163.5124838400   2.0878805025 176.7672563986   0.3496651384   0.3908557903   0.2971922539   1.0377131825
  107700000  29.9895241404  17.4663643915   0.0000000000  47.4558885318  72.1310490000   4.4563210000   5.3620496721  81.9494196721   0.3545490382   0.3580724135   0.3136147904   1.0262362421
