# Time-averaged data for fix at1
# TimeStep c_cm[3] c_pfall
101010000 23.8338 0.061197
101020000 23.3143 0.0060039
101030000 22.3289 0.0139692
101040000 23.1388 0.0759444
101050000 25.5588 0.0881519
101060000 24.5341 0.0634136
101070000 25.5224 0.0995171
101080000 23.878 0.0781082
101090000 24.9461 0.070532
101100000 25.2036 0.0684634
101110000 24.5756 0.0285218
101120000 23.1392 0.0232465
101130000 23.6502 0.0813539
101140000 24.6162 0.0929246
101150000 22.5505 0.0227501
101160000 24.1692 0.0683911
101170000 23.7092 0.0686315
101180000 22.1531 0.0132942
101190000 20.5629 6.03876e-06
101200000 22.1306 0.0659598
101210000 22.9517 0.0141783
101220000 21.5349 0.0142899
101230000 18.4459 0
101240000 21.1129 0
101250000 21.4687 0.0167123
101260000 20.0298 0.00399761
101270000 18.9674 0.0128852
101280000 19.0085 0.00955202
101290000 14.4927 0
101300000 14.9436 -0.0306666
101310000 14.0422 -0.0282389
101320000 12.9003 -0.00403302
101330000 9.26723 -0.115038
101340000 8.63573 -0.200735
101350000 13.8773 0
101360000 16.5369 0
101370000 15.2963 0
101380000 15.6603 0
101390000 16.0449 0
101400000 17.3895 0
101410000 18.1055 0.00171902
101420000 22.2865 0.0340884
101430000 21.2089 0.00598636
101440000 21.056 0.00231926
101450000 19.1615 0.0283739
101460000 22.1092 0.0052473
101470000 25.0936 0.0397199
101480000 20.2705 0.00850321
101490000 17.9669 0.000137691
101500000 20.2019 0.000270454
101510000 21.7858 0.0172268
101520000 23.6477 0.00891905
101530000 24.6588 0.0507549
101540000 21.3937 0.00488464
101550000 19.7165 0.0024654
101560000 17.654 0.00968099
101570000 21.0095 0.0165051
101580000 22.705 0.0585233
101590000 19.2756 0
101600000 22.2398 0.0353215
101610000 21.1422 0.0331038
101620000 21.1646 0.00214365
101630000 17.2359 -0.0152573
101640000 16.6491 0
101650000 17.0414 0
101660000 13.7961 0
101670000 10.3837 -0.0610247
101680000 12.1847 0
101690000 13.3914 0
101700000 9.92267 -0.300978
101710000 9.58594 -0.155113
101720000 12.1663 0
101730000 13.6524 0
101740000 20.6792 0.00162816
101750000 22.0302 0.0232334
101760000 21.0368 0
101770000 19.5903 0.0173176
101780000 21.8807 0.0116209
101790000 18.7016 0
101800000 17.4283 0
101810000 16.5288 0
101820000 19.2227 0
101830000 18.9172 0
101840000 19.9782 0.00289128
101850000 16.3866 0
101860000 16.3083 0
101870000 13.0532 -0.122384
101880000 8.43311 -1.68404
101890000 6.62586 -1.35307
101900000 5.84139 -1.26705
101910000 5.18646 -1.09782
101920000 7.72413 -0.430577
101930000 7.58847 -0.523591
101940000 9.41112 -0.101249
101950000 11.8927 -0.0225921
101960000 14.0992 0.0135429
101970000 18.716 0.00188284
101980000 17.2337 0
101990000 15.7338 0
102000000 14.4211 0
102010000 13.3304 0
102020000 10.4432 0
102030000 9.39406 -0.217665
102040000 11.5337 0
102050000 12.6317 0
102060000 11.7177 0
102070000 13.0851 -0.663605
102080000 18.4709 0.00666281
102090000 20.981 0.0153955
102100000 23.0462 0.0340903
102110000 21.0153 0.0114945
102120000 19.9109 0.0106342
102130000 21.7996 0.00727935
102140000 19.6926 0.00317921
102150000 19.2519 0.000297801
102160000 19.6489 0
102170000 18.54 0.00262434
102180000 16.584 0
102190000 13.6835 0
102200000 12.8657 0
102210000 17.2985 0.0013066
102220000 17.1365 0.0184513
102230000 14.9612 0
102240000 14.6058 0
102250000 15.2267 0
102260000 15.0023 0
102270000 10.0539 -0.432459
102280000 11.3749 -0.240902
102290000 12.7593 0
102300000 15.1362 0
102310000 14.4133 0
102320000 13.9208 0
102330000 14.244 0
102340000 16.1518 0
102350000 18.8027 0.0146518
102360000 20.2186 0.0357285
102370000 21.1669 0.0286533
102380000 21.3991 0.00243285
102390000 20.0428 0.019044
102400000 19.0612 0
102410000 17.7791 0
102420000 16.2277 0
102430000 15.9539 0
102440000 15.0607 0
102450000 13.5559 0
102460000 18.1892 0
102470000 21.2623 0.00380259
102480000 24.9159 0.0788803
102490000 24.8586 0.108925
102500000 24.1828 0.0333509
102510000 24.5842 0.0656941
102520000 24.7246 0.142321
102530000 21.6875 0.0355718
102540000 19.8172 0.0501405
102550000 20.0292 0.010444
102560000 22.4078 0.0468085
102570000 21.4624 0.00959646
102580000 19.5682 0.001498
102590000 18.3767 0
102600000 18.5483 0
102610000 16.4462 0
102620000 15.8133 0.0199455
102630000 11.554 -0.145191
102640000 9.96405 -0.102806
102650000 7.73969 -1.35212
102660000 9.35617 -0.466939
102670000 7.26918 -0.477045
102680000 4.92451 -1.60785
102690000 5.28157 -1.51024
102700000 5.28798 -1.57126
102710000 6.16269 -1.05829
102720000 5.49273 -1.26095
102730000 5.96853 -0.769281
102740000 6.30429 -0.686925
102750000 3.41511 -3.10271
102760000 6.2867 -0.967975
102770000 5.19948 -2.10712
102780000 5.46148 -1.97778
102790000 4.15608 -2.15025
102800000 5.00995 -1.36734
102810000 8.05355 -1.25021
102820000 7.73669 -0.428273
102830000 5.491 -1.74324
102840000 4.80748 -1.62326
102850000 7.096 -0.462214
102860000 7.47901 -0.409094
102870000 9.18784 -0.197015
102880000 4.87918 -1.44944
102890000 6.20689 -1.24631
102900000 5.08152 -1.42794
102910000 6.19819 -0.814754
102920000 5.81182 -0.7023
102930000 7.14993 -0.503049
102940000 5.26048 -1.91941
102950000 6.99549 -0.55525
102960000 6.28308 -1.94798
102970000 9.6419 -0.578676
102980000 12.1595 -0.390044
102990000 8.63532 -0.122286
103000000 5.87267 -1.17408
103010000 7.13358 -0.833428
103020000 8.78199 -0.652532
103030000 10.0303 -0.460804
103040000 15.291 0
103050000 16.0069 0
103060000 18.2856 0.00709179
103070000 18.4194 0.00291998
103080000 14.3031 0
103090000 9.3903 -0.00129203
103100000 9.1155 -0.001176
103110000 6.86916 -1.30845
103120000 2.79589 -4.34447
103130000 2.56302 -4.36925
103140000 4.12328 -2.33437
103150000 3.63676 -2.84052
103160000 5.48911 -1.99093
103170000 8.36271 -0.116904
103180000 7.47838 -0.484341
103190000 9.36797 -0.0258747
103200000 14.2392 0
103210000 14.7236 0
103220000 14.7696 0
103230000 12.6529 0
103240000 11.1924 -0.00539314
103250000 11.5809 0
103260000 14.1136 0
103270000 10.9751 -0.0301338
103280000 9.51057 -0.512416
103290000 8.32943 -1.43653
103300000 10.3775 -0.035743
103310000 9.78512 -0.0459685
103320000 12.4 0
103330000 8.25444 -0.102103
103340000 10.3485 -0.0263357
103350000 13.0483 0
103360000 7.32951 -0.330081
103370000 10.2773 -0.0675643
103380000 9.72731 -0.238536
103390000 8.87267 -0.264774
103400000 11.4971 -0.112011
103410000 13.1765 0
103420000 13.8739 -0.0592877
103430000 13.7632 -0.038968
103440000 13.6571 -0.216035
103450000 15.8565 -0.000279276
103460000 18.11 0
103470000 18.8716 0.0247474
