# Time-averaged data for fix at1
# TimeStep c_cm[3] c_pfall
103370000 8.74012 -5.0378e-05
103380000 6.53562 -0.00259837
103390000 9.26541 -5.18758e-05
103400000 6.15432 -0.114327
103410000 -1.2518 -2.14015
103420000 2.04744 -1.00131
103430000 3.90498 -0.372474
103440000 10.8137 -0.280752
103450000 24.5786 0.0105498
103460000 19.6859 0
103470000 22.1889 0
103480000 20.2318 0
103490000 25.0347 0.0155852
103500000 23.7757 0
103510000 22.564 0.0262575
103520000 21.085 0
103530000 13.9759 0
103540000 12.9255 0
103550000 12.8742 0
103560000 12.1789 0
103570000 13.9007 0
103580000 17.5066 0
103590000 16.3239 0
103600000 15.2635 0
103610000 8.67216 0
103620000 12.4077 0
103630000 9.23848 -0.04374
103640000 14.9615 0
103650000 16.6202 0
103660000 17.4626 0
103670000 20.5383 0
103680000 26.5855 0.0596913
103690000 21.2625 0.00136256
103700000 19.0361 0
103710000 12.2856 0
103720000 10.8986 0
103730000 7.95074 -5.15156e-05
103740000 4.56272 -0.0905233
103750000 10.5591 0
103760000 7.21674 -0.0423193
103770000 7.47704 0
103780000 16.5274 0
103790000 22.9614 0.00834152
103800000 22.1148 0.00546949
103810000 26.414 0.025494
103820000 26.1208 0.027728
103830000 24.9235 0.00606646
103840000 16.6474 0
103850000 9.60916 0
103860000 15.751 0
103870000 16.287 0
103880000 15.4559 0
103890000 13.5019 0
103900000 12.9589 0
103910000 10.0801 0
103920000 12.2218 0
103930000 18.4962 0
103940000 15.5475 0
103950000 11.6502 0
103960000 16.5639 0
103970000 16.1834 0
103980000 17.5746 0
103990000 13.4958 0
104000000 18.9479 0
104010000 24.0394 0.0149845
104020000 23.3177 0
104030000 20.3782 0
104040000 12.5466 0
104050000 9.71581 0
104060000 8.59588 0
104070000 12.1302 0
104080000 16.4338 0
104090000 17.693 0
104100000 18.3869 0
104110000 13.5798 0
104120000 10.4346 -5.61503e-05
104130000 9.62573 -0.00257198
104140000 6.75967 -0.0012632
104150000 9.4502 -0.0427348
104160000 23.5899 0.0597593
104170000 18.6769 4.86518e-06
104180000 9.25959 -0.0232095
104190000 8.77797 -0.0080792
104200000 14.0468 0
104210000 9.06827 -5.84281e-05
104220000 9.90447 0
104230000 12.521 0
104240000 8.33127 -0.0723466
104250000 13.7871 0
104260000 15.2541 0
104270000 14.4243 0
104280000 14.4454 0
104290000 8.82486 -0.000655434
104300000 6.54169 -0.201823
104310000 6.98893 -0.099801
104320000 10.2235 -0.000255972
104330000 7.0791 -0.364411
104340000 4.09844 -0.379491
104350000 4.3681 -0.471744
104360000 3.35626 -0.574839
104370000 3.99892 -0.451946
104380000 6.09355 -0.0322237
104390000 4.0858 -0.651099
104400000 5.50012 -0.0598895
104410000 8.52145 -2.03655e-05
104420000 14.7787 0
104430000 14.7625 0
104440000 15.006 0
104450000 21.0011 0
104460000 23.059 0.00377274
104470000 22.8339 0
104480000 19.9477 0
104490000 16.1887 0
104500000 17.1216 0
104510000 13.8277 0
104520000 11.7182 0
104530000 13.1832 0
104540000 21.1458 0.018509
104550000 23.1115 0.00389332
104560000 13.4961 0
104570000 6.46008 -0.152016
104580000 3.11909 -1.26599
104590000 2.10651 -1.15875
104600000 3.08994 -0.748869
104610000 4.35364 -0.323454
104620000 5.71633 -0.0953666
104630000 6.73128 -0.194119
104640000 6.74207 -0.0513983
104650000 5.77042 -0.253263
104660000 8.11642 -0.0994434
104670000 5.88367 -0.388536
104680000 12.9613 0
104690000 24.2415 0.0183166
104700000 25.4298 0.0175721
104710000 22.1268 0.0291524
104720000 23.8486 0.043463
104730000 20.3386 0
104740000 20.1046 0
104750000 23.1824 0.0121568
104760000 25.3881 0.040195
104770000 21.1704 0
104780000 19.8853 0
104790000 17.3686 0
104800000 9.65473 -0.0730205
104810000 4.39646 -0.522793
104820000 4.73282 -0.135329
104830000 3.46802 -0.583691
104840000 14.333 -0.000661804
104850000 22.3138 0
104860000 20.2813 0
104870000 23.0521 0.0007027
104880000 19.0407 0
104890000 14.4648 0
104900000 11.8022 0
104910000 10.7041 0
104920000 6.7439 -0.0720229
104930000 5.96856 -0.00328286
104940000 3.81895 -0.588757
104950000 3.84243 -0.79715
104960000 11.0318 0
104970000 10.0318 0
104980000 9.03277 -0.0146125
104990000 9.91649 0
105000000 8.92339 0
105010000 13.3299 0
105020000 17.1757 0
105030000 18.7001 0
105040000 20.0263 0
105050000 15.0735 0
105060000 9.85731 0
105070000 14.6103 0
105080000 15.4542 0
105090000 17.4326 0
105100000 12.0493 0
105110000 12.0099 0
105120000 23.692 0.000429487
105130000 19.149 0
105140000 12.0785 0
105150000 9.14795 -0.00801388
105160000 2.82058 -0.830263
105170000 3.3936 -0.728978
105180000 5.23235 -0.242981
105190000 11.0235 0
105200000 15.1907 0
105210000 12.3844 0
105220000 8.60039 -0.00311539
105230000 8.67928 -0.00900193
105240000 7.37328 -0.0162406
105250000 12.9995 0
105260000 11.7596 0
105270000 9.37953 0
105280000 4.02233 -0.461216
105290000 3.34662 -0.778539
105300000 2.58044 -1.15748
105310000 5.70621 -0.130561
105320000 7.89293 0
105330000 7.90087 -0.000764139
105340000 8.58609 0
105350000 7.83202 -0.000802099
105360000 5.15274 -0.424536
105370000 3.42467 -0.736316
105380000 4.71382 -0.106448
105390000 8.1567 -0.150747
105400000 9.24645 0
105410000 14.1103 0
105420000 17.9192 0
105430000 19.1438 0
105440000 22.1262 0
105450000 21.8307 0
105460000 23.1122 0.0193004
105470000 24.7893 0.00203939
105480000 23.1636 0
105490000 24.9502 0.0123622
105500000 26.1873 0.0709331
105510000 26.3644 0.0200998
105520000 26.6854 0.0516914
105530000 26.0151 0.0250962
105540000 25.4945 0.0275997
105550000 26.6151 0.0635528
105560000 24.7729 0.0386695
105570000 21.188 0
105580000 26.425 0.0204277
105590000 27.1059 0.107559
105600000 25.7181 0.0381453
105610000 21.3 0
105620000 20.662 0
105630000 22.0313 0
105640000 18.4232 0
105650000 15.8002 0
105660000 18.2768 0
105670000 18.9004 0
